prl-ref,2,20000,1000,1543.936262
prl-ref,4,20000,1000,766.720636
prl-ref,6,20000,1000,508.106818
prl-ref,8,20000,1000,381.984285
prl-ref,10,20000,1000,305.68615
prl-ref,12,20000,1000,253.807151
prl-ref,14,20000,1000,217.211207
prl-ref,16,20000,1000,189.76698
prl-ref,18,20000,1000,168.688543
prl-ref,20,20000,1000,153.399917
prl-ref,22,20000,1000,138.433739
prl-ref,24,20000,1000,126.23113
prl-ref,26,20000,1000,117.25895
prl-ref,28,20000,1000,108.22777
prl-ref,30,20000,1000,102.155409
prl-ref,32,20000,1000,97.862807
prl-ref,34,20000,1000,93.092423
prl-ref,36,20000,1000,86.02862
prl-ref,38,20000,1000,82.996284
prl-ref,40,20000,1000,80.048955
prl-ref,42,20000,1000,72.660466
prl-ref,44,20000,1000,70.80834
prl-ref,46,20000,1000,68.297719
prl-ref,48,20000,1000,65.042737
prl-ref,50,20000,1000,63.97437
prl-ref,52,20000,1000,62.111037
prl-ref,54,20000,1000,59.176331
prl-ref,56,20000,1000,55.440275
prl-ref,58,20000,1000,54.809219
prl-ref,60,20000,1000,53.375183
prl-ref,62,20000,1000,52.653353
prl-ref,64,20000,1000,50.350718
prl-ref,66,20000,1000,63.350614
prl-ref,68,20000,1000,55.580926
prl-ref,70,20000,1000,55.811303
prl-ref,72,20000,1000,45.767891
prl-ref,74,20000,1000,46.850902
prl-ref,76,20000,1000,46.317844
prl-ref,78,20000,1000,41.884236
prl-ref,80,20000,1000,42.702016
prl-ref,82,20000,1000,41.793637
prl-ref,84,20000,1000,41.001751
prl-ref,86,20000,1000,39.174648
prl-ref,88,20000,1000,38.791914
prl-ref,90,20000,1000,39.238551
prl-ref,92,20000,1000,36.052458
prl-ref,94,20000,1000,40.263537
prl-ref,96,20000,1000,34.933438
prl-ref,98,20000,1000,34.772828
prl-ref,100,20000,1000,35.331759
prl-ref,102,20000,1000,32.431767
prl-ref,104,20000,1000,32.572362
prl-ref,106,20000,1000,33.310178
prl-ref,108,20000,1000,32.079334
prl-ref,110,20000,1000,32.720456
prl-ref,112,20000,1000,29.888896
prl-ref,114,20000,1000,29.86106
prl-ref,116,20000,1000,30.820886
prl-ref,118,20000,1000,29.673509
prl-ref,120,20000,1000,29.714651
prl-ref,122,20000,1000,30.032987
prl-ref,124,20000,1000,30.196612
prl-ref,126,20000,1000,27.851496
prl-ref,128,20000,1000,27.205646
