0.123428,2
0.711126,4
2.086636,6
2.861949,8
0.398391,10
0.608720,12
5.168110,14
1.925665,16
2.683224,18
3.987050,20
4.274735,22
6.397080,24
6.785329,26
5.748062,28
3.441628,30
5.266774,32
8.813906,34
7.470673,36
8.934701,38
6.004725,40
5.374196,42
10.485002,44
8.386347,46
6.649712,48
5.205610,50
8.493427,52
9.663093,54
7.531193,56
5.284788,58
7.411584,60
13.252106,62
12.051213,64
7.763162,66
11.932091,68
9.999506,70
7.717719,72
12.331239,74
13.082024,76
10.760536,78
9.583078,80
8.941244,82
11.772847,84
10.581089,86
10.060074,88
10.523986,90
11.005915,92
15.167107,94
14.309070,96
13.233977,98
12.595677,100
13.322172,102
12.420464,104
14.273705,106
12.764957,108
13.830762,110
11.582783,112
10.352182,114
14.240278,116
13.090370,118
12.442677,120
14.146343,122
16.707017,124
13.377924,126
12.241605,128
